# File: KOR_en_bal.csv
# Title: South Korea energy balance override (GCAM_region_ID 28), by intermediate sector / intermediate fuel / historical year
# Units: EJ
# Source: Extracted from L101.en_bal_EJ_R_Si_Fi_Yh_full (region 28), the same processing as the global IEA-based balance.
#   Serves as the editable Korea-specific overlay; sector=TES is excluded and recomputed downstream from in_/net_ sectors.
# Column types: ccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
sector,fuel,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
in_bld_comm,coal,0.0048139,0.00406042,0.00406042,0.0043953,0.00611156,0.0038929800000000003,0.00435344,0.00401856,0.0031395000000000004,0.0039767000000000005,0.0037255400000000003,0.00288834,0.0022604400000000003,0.00347438,0.00267904,0.0028046200000000003,0.0020930000000000002,0.0023023,0.00217672,0.0011302200000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
in_bld_comm,electricity,0.0069069000000000005,0.007785960000000001,0.00799526,0.008078980000000001,0.009041760000000001,0.00996268,0.01105104,0.013102180000000001,0.014483560000000001,0.014776580000000001,0.01703702,0.01933932,0.0217672,0.0246974,0.027627600000000002,0.02988804,0.03415776,0.04186,0.048850620000000004,0.058980740000000004,0.06701786,0.07836192,0.09372454000000001,0.11586848000000001,0.1329055,0.15626338,0.1804166,0.18050032000000002,0.20532330000000001,0.24580192,0.29075956000000003,0.32265688000000003,0.34806590000000004,0.37087960000000003,0.40742338,0.43019522000000004,0.45426472,0.4767854,0.49445032000000005,0.531622,0.53949168,0.54907762,0.54782182,0.5353475400000001,0.54811484,0.59181668,0.58821672,0.59445386,0.58888648,0.57352386,0.5910632
in_bld_comm,gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.534800000000001e-4,0.00179998,0.00343252,0.00569296,0.00870688,0.00874874,0.02210208,0.026288080000000002,0.032567080000000005,0.04072978,0.04696692,0.04776226,0.05927376,0.07559916,0.08443162,0.07028294,0.06919458,0.10854298000000001,0.12959856,0.13324038000000002,0.13792870000000002,0.13198458000000002,0.13914264,0.14759836,0.13880776,0.14027286,0.17355156000000002,0.16141216,0.15705872,0.16589118,0.17158414,0.17200274000000002,0.16735628,0.14839370000000002,0.15178436
in_bld_comm,gasified biomass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5116e-4,2.5116e-4,3.7674000000000003e-4,5.0232e-4,5.0232e-4,5.4418e-4,6.6976e-4,5.4418e-4,5.4418e-4,6.279e-4,5.4418e-4,5.8604e-4,5.8604e-4,7.534800000000001e-4,7.1162e-4,8.790600000000001e-4,0.0031813600000000003,0.00309764,0.0016744000000000002,0.0018837,0.0031813600000000003,0.0025116,0.0030976400000000005,0.00322322,0.00234416,1.2558e-4,0.0010465000000000001,8.372000000000001e-4,7.953400000000001e-4,0.00108836,7.534800000000001e-4,7.534800000000001e-4
in_bld_comm,heat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0034743800000000004,0.00979524,0.008330140000000002,0.006069700000000001,0.00221858,0.0038511200000000004,0.00401856,0.004855760000000001,0.00611156,0.0060278400000000005,0.00694876,0.00845572,0.00761852,0.00841386,0.01075802,0.008078980000000001,0.009837100000000001,0.010925460000000001,0.010925460000000001,0.01184638,0.013269620000000001,0.01017198,0.011092900000000001,0.012683580000000002,0.01410682,0.01335334,0.01289288,0.012306840000000001
in_bld_comm,refined liquids,0.0177905,0.029469440000000003,0.03980886,0.03918096,0.04700878000000001,0.0573482,0.08242234,0.09318036,0.10460814,0.12583116,0.13910078,0.13386828,0.12587302,0.13746824000000002,0.14157052,0.15165878000000002,0.16923998,0.20373262,0.25856922000000004,0.33998692,0.40495364000000006,0.49156198,0.58880276,0.6651554000000001,0.72895004,0.74619636,0.74766146,0.53714752,0.5877144000000001,0.44995314000000003,0.3696238,0.35020076000000006,0.3438799,0.29645252,0.29674554000000003,0.19958848,0.1919281,0.17409574,0.18154682000000003,0.18673746000000002,0.17208646000000002,0.16287726000000002,0.13713336,0.12972414000000002,0.15471456,0.14123564000000002,0.13780312,0.13378456,0.11858938000000001,0.13328224,0.11017552000000001
in_bld_resid,biomass_tradbio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01640912,0.010423140000000001,0.00791154,0.005734820000000001,0.0037674,0.0026371800000000003,0.00154882,0.00179998,0.00200928,0.0017581200000000002,0.00267904,0.00276276,0.0024278800000000003,0.0027209,0.0018418400000000002,0.00205114,0.0020930000000000002,0.00179998,0.0012139400000000002,0.00100464,0.00142324,0.00217672,0.00288834,0.00514878,9.627800000000001e-4,0.00443716,0.0058604,0.00653016,0.006613880000000001,0.0054836600000000004,0.0050232,0.0043953
in_bld_resid,coal,0.19477458,0.20247682,0.25065768,0.26296452000000003,0.26212732,0.28247128,0.30901052,0.31821972000000004,0.32621498000000004,0.34731242,0.35706580000000004,0.34442408,0.36506106000000005,0.4104373,0.44480436,0.46694830000000004,0.454181,0.44145556,0.3861585,0.36158668,0.28247128,0.2099279,0.14659372,0.08878506,0.057138900000000006,0.03779958,0.02712528,0.0242788,0.022185800000000002,0.02369276,0.02444624,0.02331602,0.02331602,0.027502020000000002,0.03993444,0.04621344,0.04190186,0.04407858,0.03738098,0.035790300000000004,0.03507868,0.03415776,0.03570658,0.0303485,0.027418300000000003,0.02335788,0.02088814,0.01921374,0.01247428,0.009837100000000001,0.00870688
in_bld_resid,electricity,0.00347438,0.0041860000000000005,0.00556738,0.006153420000000001,0.00728364,0.008623160000000001,0.010465,0.014064960000000001,0.01791608,0.01913002,0.021348600000000002,0.02373462,0.027878760000000002,0.03152058,0.03466008,0.03708796,0.0412321,0.047552960000000005,0.054627300000000004,0.0638365,0.0701155,0.07844564000000001,0.08606416,0.09556638,0.10188724,0.11030110000000001,0.11704056,0.11846380000000001,0.12444978000000001,0.1335334,0.14115192000000001,0.15216110000000002,0.16044938,0.1749748,0.18309564,0.18908162,0.1950676,0.20239310000000002,0.20762560000000002,0.22060220000000003,0.22265334,0.22997884000000002,0.23031372,0.22650446000000002,0.22964396,0.24756004,0.23952292,0.24345776000000002,0.24266242000000002,0.2551367,0.26710866
in_bld_resid,gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00255346,0.00619528,0.01180452,0.0194649,0.029720600000000003,0.04839016,0.056678440000000004,0.07894796000000001,0.11243596,0.15128204,0.18456074,0.18924906000000002,0.24144848000000002,0.2607878,0.26618774,0.32989866,0.35463792,0.3235778,0.35053564000000004,0.34630778,0.34438222,0.34480082,0.34605662000000004,0.3742284,0.37280516,0.38117716,0.37607024,0.3482752,0.34203806000000003,0.37071216,0.39340028000000005,0.39972114000000003,0.38440038000000004,0.39984672000000004,0.40733966000000005
